date,province,percentage
1/26/20,Hubei Province,0.76
1/26/20,Henan Province,0.04
1/26/20,Guangdong Province,0.04
1/26/20,Hunan Province,0.02
1/26/20,Anhui Province,0.01
1/26/20,Jiangxi Province,0.01
1/26/20,Zhejiang Province,0.01
1/26/20,Jiangsu Province,0.01
1/26/20,Sichuan Province,0.01
1/26/20,Chongqing,0.01
1/26/20,Shandong Province,0.01
1/26/20,Fujian Province,0.01
1/26/20,Yunnan Province,0.01
1/26/20,Shanghai,0.01
1/26/20,Hainan,0.01
1/26/20,Shaanxi Province,0.00
1/26/20,Beijing,0.00
1/26/20,Hebei Province,0.00
1/26/20,Guangxi Zhuang Autonomous Region,0.00
1/26/20,Shanxi Province,0.00
1/26/20,Guizhou Province,0.00
1/26/20,Liaoning Province,0.00
1/26/20,Gansu province,0.00
1/26/20,Inner Mongolia Autonomous Region,0.00
1/26/20,Jilin Province,0.00
1/26/20,Heilongjiang Province,0.00
1/26/20,Xinjiang Uygur Autonomous Region,0.00
1/26/20,Qinghai Province,0.00
1/26/20,Tianjin,0.00
1/26/20,Ningxia Hui Autonomous Region,0.00
1/25/20,Hubei Province,0.75
1/25/20,Henan Province,0.04
1/25/20,Guangdong Province,0.03
1/25/20,Hunan Province,0.02
1/25/20,Anhui Province,0.02
1/25/20,Jiangxi Province,0.01
1/25/20,Jiangsu Province,0.01
1/25/20,Sichuan Province,0.01
1/25/20,Zhejiang Province,0.01
1/25/20,Chongqing,0.01
1/25/20,Shandong Province,0.01
1/25/20,Guangxi Zhuang Autonomous Region,0.01
1/25/20,Hainan,0.01
1/25/20,Fujian Province,0.01
1/25/20,Shaanxi Province,0.01
1/25/20,Yunnan Province,0.01
1/25/20,Hebei Province,0.01
1/25/20,Shanghai,0.00
1/25/20,Beijing,0.00
1/25/20,Guizhou Province,0.00
1/25/20,Shanxi Province,0.00
1/25/20,Gansu province,0.00
1/25/20,Heilongjiang Province,0.00
1/25/20,Liaoning Province,0.00
1/25/20,Inner Mongolia Autonomous Region,0.00
1/25/20,Jilin Province,0.00
1/25/20,Xinjiang Uygur Autonomous Region,0.00
1/25/20,Tianjin,0.00
1/25/20,Ningxia Hui Autonomous Region,0.00
1/25/20,Qinghai Province,0.00
1/25/20,Tibet Autonomous Region,0.00
1/24/20,Hubei Province,0.72
1/24/20,Henan Province,0.05
1/24/20,Hunan Province,0.03
1/24/20,Guangdong Province,0.03
1/24/20,Anhui Province,0.02
1/24/20,Jiangxi Province,0.02
1/24/20,Chongqing,0.01
1/24/20,Jiangsu Province,0.01
1/24/20,Sichuan Province,0.01
1/24/20,Shandong Province,0.01
1/24/20,Zhejiang Province,0.01
1/24/20,Fujian Province,0.01
1/24/20,Shaanxi Province,0.01
1/24/20,Guangxi Zhuang Autonomous Region,0.01
1/24/20,Hebei Province,0.01
1/24/20,Shanxi Province,0.01
1/24/20,Shanghai,0.01
1/24/20,Hainan,0.01
1/24/20,Yunnan Province,0.00
1/24/20,Beijing,0.00
1/24/20,Guizhou Province,0.00
1/24/20,Gansu province,0.00
