transmissibility,susceptibility_scale,relative_susceptibility,minimum_transmissibility_scale,transmissibility_scale,transmissibility_midpoint,cluster,"[0,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)",80+,overall_ar
0.03,1,0,0,0.1,40,1,2.240378877358707e-7,2.939459067755598e-7,3.713808023106682e-7,4.175189455475527e-7,5.069381566095921e-7,5.069674608669068e-7,4.582083138717716e-7,5.062683611093635e-7,5.372807917552481e-6,5.019084536518348e-7
0.031,1,0,0,0.1,40,1,2.595075834010246e-7,3.424202523526332e-7,4.314381813390244e-7,4.862516255331106e-7,5.839462216862885e-7,5.770728664887789e-7,5.196551503888062e-7,5.682864591477901e-7,5.429724483368203e-6,5.63370763502106e-7
0.032,1,0,0,0.1,40,1,3.036239086983821e-7,4.0287334256581087e-7,5.062303279346264e-7,5.719141943085231e-7,6.794647792512933e-7,6.634638670687817e-7,5.951224863832072e-7,6.439029564780115e-7,5.498895043424116e-6,6.39504645632738e-7
0.033,1,0,0,0.1,40,1,3.598337392174937e-7,4.800858440744353e-7,6.016333363108581e-7,6.812561321945264e-7,8.008667171189932e-7,7.726140913524367e-7,6.901669888011155e-7,7.384921328338683e-7,5.585171020506211e-6,7.361496538154106e-7
0.034,1,0,0,0.1,40,1,4.3368808524147893e-7,5.817570902384511e-7,7.271105339713778e-7,8.251471619568465e-7,9.600255585128182e-7,9.149483973294095e-7,8.137360027690354e-7,8.60707017864407e-7,5.696364096216365e-6,8.627097750873788e-7
0.034999999999999996,1,0,0,0.1,40,1,5.347261240828914e-7,7.211184616015215e-7,8.989244862074513e-7,1.0222664967066706e-6,1.1773453049492408e-6,1.1083807561147034e-6,9.812034719140574e-7,1.0254150578110993e-6,5.845896743873337e-6,1.0353449908705337e-6
0.036,1,0,0,0.1,40,1,6.807678626269807e-7,9.228878283652082e-7,1.1474553688165117e-6,1.3075085835805395e-6,1.4909422055526567e-6,1.3863751194786545e-6,1.2212871072409957e-6,1.2603868598674633e-6,6.0588413146714e-6,1.2842430685449038e-6
0.037,1,0,0,0.1,40,1,9.088677575519448e-7,1.2384635469124637e-6,1.535875312634415e-6,1.7534320972908083e-6,1.9800739382889268e-6,1.8185143889592669e-6,1.5936989703220703e-6,1.6233639004420147e-6,6.387330012755996e-6,1.6721750417257466e-6
0.038,1,0,0,0.1,40,1,1.3070141869266874e-6,1.7898954531554665e-6,2.2141914124499406e-6,2.5323326901944636e-6,2.832942955278394e-6,2.570026402889961e-6,2.2402257437990736e-6,2.2514519717095336e-6,6.95515091715138e-6,2.3481942249697486e-6
0.039,1,0,0,0.1,40,1,2.1183913821994294e-06,2.9145086733193863e-6,3.5969970572847838e-6,4.120404643578161e-6,4.569706409469277e-6,4.097569132833147e-6,3.5527354399859855e-6,3.5235798206510563e-6,8.104427565455757e-6,3.724256110425417e-6
0.04,1,0,0,0.1,40,1,4.127117533492621e-6,5.699967982505999e-6,7.021097429288858e-6,8.05307583068034e-6,8.86754341249836e-6,7.873575640760338e-6,6.794751219163798e-6,6.6615469842488674e-6,1.0938289226739473e-5,7.1286578348103846e-6
0.040999999999999995,1,0,0,0.1,40,1,1.0233225138497125e-5,1.4168953685958722e-5,1.743059658034466e-5,2.0009035361283997e-5,2.192939336297655e-5,1.9343753168574062e-5,1.663934463089085e-5,1.6184111506037842e-5,1.9536604084903597e-5,1.7474032854556978e-5
0.041999999999999996,1,0,0,0.1,40,1,3.2397543348789256e-5,4.491237689926685e-5,5.5216532124008635e-5,6.340884533014e-5,6.933787400567479e-5,6.096783570620122e-5,5.2359812662346215e-5,5.072816660936166e-5,5.0726173525919886e-5,5.502160586875772e-5
0.043,1,0,0,0.1,40,1,1.240453944669972e-4,1.7203416236630503e-4,2.1145377421085047e-4,2.4285613156748256e-4,2.6535120314419535e-4,2.3305915513488994e-4,2.0004035712795258e-4,1.9353612797330815e-4,1.7966520332683957e-4,2.1026618045535557e-4
0.044,1,0,0,0.1,40,1,5.367559949269331e-4,7.444364198234217e-4,9.148976538045871e-4,0.0010507471917836082,0.00114777462120996,0.0010078404261315704,8.64974960497628e-4,8.365371524703948e-4,7.602332862908982e-4,9.092267480432961e-4
0.045,1,0,0,0.1,40,1,0.0024777178499992914,0.0034351349877480043,0.004220331589988032,0.004845773431856152,0.005291976570457623,0.004647853323957523,0.003990245233294951,0.003859061813014609,0.00348960965754802,0.004193447157357675
0.046,1,0,0,0.1,40,1,0.011358021319258544,0.01571840699299911,0.019283525387076093,0.022114891598145156,0.024130510982435075,0.021222752122419537,0.01824924450006829,0.017656712801095726,0.015956100684064452,0.019157028615636635
0.047,1,0,0,0.1,40,1,0.0437881799817966,0.06019468889580422,0.07345814092477371,0.08387581576153116,0.09123719731577654,0.08065309405308883,0.06976153749357124,0.06760473907913883,0.061185523373882666,0.07293394365788336
0.048,1,0,0,0.1,40,1,0.1081152628111288,0.14662929478037195,0.17704046515139799,0.20039019852498527,0.21664116613025663,0.19344802210216414,0.16928866445977714,0.16457837026722213,0.149479470859141,0.1755930093347023
0.049,1,0,0,0.1,40,1,0.16623699672875036,0.2226347212696387,0.26615800527184696,0.2988608719215619,0.32129467050466254,0.2895215272428559,0.2560716770351814,0.2496692064612148,0.227542638356044,0.2637605150712095
0.05,1,0,0,0.1,40,1,0.2014384571064484,0.26766684400159507,0.3180206142118176,0.35534200017110085,0.38070972507062106,0.3449577022331254,0.30707760949728014,0.299920752853952,0.27395132855272747,0.3150056385489113
0.051000000000000004,1,0,0,0.1,40,1,0.22479312531367338,0.2971186378364797,0.3515388481868439,0.39150066724275,0.4184926245630326,0.38057061504983003,0.34021309988009946,0.3326535305314219,0.30433128729301345,0.34809412058321926
0.052,1,0,0,0.1,40,1,0.24381432505767817,0.3208530863224005,0.3783122037448735,0.42018133162325294,0.44831356278730916,0.408884935629436,0.3667654502195171,0.358929107943219,0.32881508525826314,0.3745048494474682
0.053,1,0,0,0.1,40,1,0.26114141702222043,0.3422736654740612,0.4022882430603153,0.4457081377667982,0.4747403798879773,0.43413708959639735,0.39060886937636874,0.38255977687370424,0.350911861774734,0.39814232784304215
0.054,1,0,0,0.1,40,1,0.2775868515996962,0.3624254519770625,0.4246779428805641,0.46940748158092094,0.49917454303242037,0.45762657306615706,0.41293231558429366,0.40471580506844734,0.3716993737936714,0.4202048844043937
0.055,1,0,0,0.1,40,1,0.29340623965053125,0.3816436214928494,0.4458766149803328,0.4917190194650801,0.5220857800799746,0.47978139863882263,0.43411992440244546,0.42577342440224075,0.3915219754991106,0.44108450877007294
0.056,1,0,0,0.1,40,1,0.30869184512939973,0.4000563569534404,0.46604273566121124,0.5128255912931515,0.5436743586296828,0.5007770053456573,0.45432184013398236,0.4458778164803806,0.4105101692368551,0.4609390307658531
0.056999999999999995,1,0,0,0.1,40,1,0.3234872349882721,0.4177298960936892,0.4852635362706734,0.532832294060204,0.5640585398929314,0.520712646656673,0.4736182310208982,0.465105225742814,0.4287306763642357,0.4798557601666816
0.057999999999999996,1,0,0,0.1,40,1,0.33782071281933623,0.4347105239286105,0.503602676129779,0.551817835788133,0.5833282021043077,0.5396620373049993,0.49206660911158123,0.4835097884176999,0.44622989767640103,0.4978985944016823
0.059,1,0,0,0.1,40,1,0.35171495376118334,0.451036632955699,0.5211139130948588,0.5698492701284623,0.6015602453291985,0.5576878658532727,0.5097153704116504,0.5011369262660302,0.46304636890798084,0.5151215337632359
0.06,1,0,0,0.1,40,1,0.3651901431645182,0.466742689088735,0.5378456457234468,0.586986949964409,0.6188238215325728,0.5748466401244322,0.5266082419497075,0.5180277258047739,0.4792148297165223,0.5315731791016775
0.061,1,0,0,0.1,40,1,0.3782648533433639,0.48186038250580737,0.5538422841538407,0.6032860853952721,0.6351820335838362,0.5911901764278894,0.5427855691866599,0.5342201844173641,0.49476737571916035,0.547298096887635
0.062,1,0,0,0.1,40,1,0.3909565331427177,0.4964193055964154,0.5691450933911468,0.6187977365827302,0.6506930440404524,0.6067665316423498,0.5582850780499595,0.5497499346732253,0.5097341217037675,0.5623376609656371
0.063,1,0,0,0.1,40,1,0.40328143166688474,0.5104469141700253,0.5837922183198482,0.633568919534391,0.6654102530627143,0.6216200689757181,0.5731418439128174,0.56465019062521,0.5241431371047248,0.5767300887907472
0.064,1,0,0,0.1,40,1,0.41525495219010383,0.5239690323071432,0.5978193237940912,0.6476433677906636,0.6793831533879959,0.6357921694823646,0.5873888611660174,0.5789522845591512,0.5380209348274376,0.5905110791921647
0.065,1,0,0,0.1,40,1,0.4268916108844534,0.5370098461973564,0.6112596407318924,0.6610616400396202,0.6926574914551619,0.6493213115636021,0.6010570510141723,0.5926856584128521,0.5513924500956172,0.6037138662735075
0.066,1,0,0,0.1,40,1,0.43820503609569594,0.5495919571061502,0.6241440897093632,0.6738613221164416,0.7052755351600033,0.6622432354891822,0.614175329175749,0.6058779076745412,0.5642810687397882,0.6163693489084934
0.067,1,0,0,0.1,40,1,0.44920815902862704,0.5617366614280537,0.6365016436747694,0.6860774642729027,0.7172765682211032,0.67459135046792,0.6267709256266875,0.61855508070812,0.5767088973027731,0.6285064525670557
0.068,1,0,0,0.1,40,1,0.4599132919240654,0.5734640774251206,0.6483595033996361,0.6977428025610429,0.7286971480896127,0.6863969410495555,0.6388695448583512,0.6307418305647698,0.5886968927213343,0.6401523084334177
0.069,1,0,0,0.1,40,1,0.47033190868850083,0.5847929136540048,0.6597428874543774,0.7088875887700571,0.7395709743351876,0.6976889743319936,0.6504951201416809,0.6424611552854314,0.6002646071723309,0.6513320535006574
0.07,1,0,0,0.1,40,1,0.480475173328398,0.5957411595185859,0.6706758440798591,0.7195404929384911,0.7499298523256057,0.708494967881428,0.661670572152551,0.6537351297465476,0.6114308717993797,0.6620696286915838
0.07100000000000001,1,0,0,0.1,40,1,0.49035330228908375,0.606325315064901,0.6811804147400852,0.7297277410157627,0.7598028256566068,0.7188401386922119,0.6724170005903327,0.6645841114118922,0.6222130292681007,0.67238696893768235
0.07200000000000001,1,0,0,0.1,40,1,0.49997620313157665,0.6165612132868084,0.691277587351715,0.7394741610276743,0.769217282321838,0.7287484131406815,0.6827545785986123,0.6750276053524492,0.6326277475453678,0.6823049372941942
0.07300000000000001,1,0,0,0.1,40,1,0.5093532876759531,0.6264638098577183,0.7009870863045367,0.7488029855703147,0.7781987717084705,0.7382422232296664,0.6927023348887813,0.6850840432477371,0.6426908027728446,0.6918431231514672
0.074,1,0,0,0.1,40,1,0.5184934258577943,0.636047148879307,0.7103273612923591,0.7577358674499445,0.7867710430814916,0.7473425135321055,0.7022781344864009,0.6947707596743328,0.6524170451362862,0.701019836861034
0.075,1,0,0,0.1,40,1,0.5274051726381425,0.6453246610864735,0.719315938742295,0.7662932701717052,0.7949564618058622,0.756069116621812,0.7114990062427832,0.7041043076508656,0.6618206935670814,0.7098524545308699
0.076,1,0,0,0.1,40,1,0.5360967004174283,0.6543090911614307,0.7279693550101773,0.7744944109198297,0.8027759623775036,0.7644406960076505,0.7203810813807983,0.7131003980157002,0.6709152692774907,0.7183573573617807
0.077,1,0,0,0.1,40,1,0.5445751963830648,0.663011802072034,0.7363024348253102,0.782356552674989,0.8102483637883519,0.772474020600243,0.7289388407684763,0.721773138032472,0.6797128638820483,0.7265492288370203
0.078,1,0,0,0.1,40,1,0.5528483539582126,0.6714445785070464,0.7443302592511842,0.7898970395811935,0.8173924260081727,0.7801859983463565,0.7371870900599522,0.7301369970554943,0.6882260031186016,0.7344429799971971
0.079,1,0,0,0.1,40,1,0.5609232756346745,0.679618311260003,0.7520667412491329,0.7971318341838582,0.8242253808006363,0.7875922103364488,0.745139522245431,0.7382053719123172,0.6964662841647938,0.7420523564594973
0.08,1,0,0,0.1,40,1,0.5688064237044941,0.6875429783322861,0.759524655480545,0.8040755999185122,0.8307630561711036,0.7947069738629282,0.7528087245807921,0.7459905829876345,0.7044443512507206,0.7493899758408176
0.081,1,0,0,0.1,40,1,0.5765039844039216,0.6952280652926518,0.7667160721668855,0.8107421220662772,0.8370202803175514,0.8015437822692647,0.7602066501003504,0.7535043569171992,0.7121703537898273,0.7564677530127223
0.082,1,0,0,0.1,40,1,0.5840224553874017,0.702683292422579,0.7736531674483751,0.8171451649027643,0.8430117608385884,0.8081161334085105,0.7673453625985778,0.7607585431246389,0.7196546443938779,0.7632976813432226
0.08299999999999999,1,0,0,0.1,40,1,0.5913673499044784,0.7099170680817167,0.7803465626589888,0.8232967804387674,0.8487504002408974,0.8144358556625086,0.7742354320939728,0.7677635372550125,0.7269062416455186,0.7698902303616577
0.08399999999999999,1,0,0,0.1,40,1,0.5985442228214257,0.7169377531370605,0.7868067306148013,0.8292087853721705,0.854248801384175,0.8205145565924106,0.7808872784956239,0.7745295922164206,0.733934086711871,0.776255709100812
0.08499999999999999,1,0,0,0.1,40,1,0.6055584997974385,0.7237534099604528,0.7930436673123549,0.8348923724760529,0.8595188404380647,0.8263632603393698,0.7873108891042323,0.781066557285482,0.7407468083203094,0.7824039456065942
0.086,1,0,0,0.1,40,1,0.6124151336175149,0.7303714461688238,0.7990665735735293,0.8403578464353689,0.8645714488860876,0.8319921236866558,0.7935154793604744,0.7873835291607205,0.7473523582796946,0.7883439856168715
0.087,1,0,0,0.1,40,1,0.619119114461255,0.7367992235990207,0.8048845128678688,0.8456152987639841,0.8694172908291714,0.8374111015084158,0.7995101216727755,0.7934894661906892,0.7537586116185725,0.7940847277662145
0.088,1,0,0,0.1,40,1,0.6256750633362701,0.7430435671561771,0.8105058701996521,0.8506740419816192,0.8740661873156842,0.8426293947116879,0.8053032392828084,0.7993926988736371,0.759972889682936,0.799634400840046
0.089,1,0,0,0.1,40,1,0.6320876399586745,0.7491112466959265,0.8159388679289682,0.8555431344755263,0.8785276402388738,0.8476559727162151,0.8109031118826823,0.8051014288181457,0.7660024445476648,0.8050010640524992
0.09,1,0,0,0.1,40,1,0.638360749161277,0.755008083873316,0.8211906653092532,0.8602305187041157,0.8828100146800805,0.852498694870403,0.8163169633328071,0.8106228136812264,0.7718535505682914,0.8101917399418278
0.091,1,0,0,0.1,40,1,0.6444987843854825,0.7607403834758678,0.8262688402905797,0.8647444769221164,0.8869219497397988,0.8571657773002803,0.8215524351166356,0.8159644323704333,0.7775329478652308,0.8152138425501727
0.092,1,0,0,0.1,40,1,0.6505056190099278,0.766313774982007,0.8311801930849184,0.869092459126166,0.8908712260621788,0.8616646140792859,0.8266164056479226,0.8211331141148934,0.783046682588427,0.8200740274520061
0.093,1,0,0,0.1,40,1,0.6563850869689871,0.7717337650066656,0.8359313152134433,0.8732816383935849,0.8946653006085534,0.8660023378996506,0.8315155569369153,0.8261355025160262,0.7884006641228636,0.8247787390576921
0.094,1,0,0,0.1,40,1,0.6621408333890314,0.7770055832203886,0.8405284536480156,0.8773188004358233,0.8983112179217891,0.8701856987007829,0.8362562225950955,0.8309778962715157,0.79360050153403106,0.8293340810203906
0.095,1,0,0,0.1,40,1,0.6677763718919879,0.7821342431993523,0.8449775658320189,0.8812103898469416,0.9018156489179708,0.8742211154664723,0.840844453947649,0.8356663198694528,0.798651572668353,0.8337458700808935
